Field=#~Integer~#~50|Field=Fitted~String~Fitted~200|Field=Designator~String~Designator~204|Field=Quantity~Integer~Quantity~124|Field=Comment~String~Comment~134|Field=Footprint~String~Footprint~200|Field=Description~String~Description~212|Field=LibRef~String~LibRef~122|Field=Manufacturer~String~Manufacturer~226|Field=Manufacturer Part Number~String~Manufacturer Part Number~292|Field=Supplier 1~String~Supplier 1~200|Field=Supplier Part Number 1~String~Supplier Part Number 1~200|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~200|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~200|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~EVB_r2-0.PrjPCB|ReportField=ProjectFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=Title~BOM Purchase For Variant [IS-EVB-r2.0.0-G2-R] of Project [EVB_r2-0.PrjPCB] (PCB Document : EVB-2.PCBDOC)|ReportField=ReportTime~2:41:15 PM|ReportField=ReportDate~2/7/2019|ReportField=ReportDateTime~2/7/2019 2:41:15 PM|ReportField=OutputName~BOM Purchase|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~IS-EVB-r2.0.0-G2-R|ReportField=TotalQuantity~168|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~ebf4d22a39377da5df1895ddc3c8144777053c8f|ReportField=AddressLine1~72 North 720 East|ReportField=AddressLine2~Salem, UT 84653|ReportField=AddressLine3~801-380-0819|ReportField=AddressLine4~info@interialsense.com|ReportField=Company~Inertial Sense LLC|ReportField=PcbPartNumber~IS-EVB-r2.0|ReportField=PcbRevision~2.0|ReportField=ProjectTitle~Evaluation Board|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2/7/2019|ReportField=CurrentTime~2:38:17 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2/7/2019|ReportField=Organization~|ReportField=ProjectName~EVB_r2-0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~Main|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~EVB_r2-0.PrjPCB|ReportField=DataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=PCBDataSourceFileName~EVB-2.PCBDOC|ReportField=PCBDataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\EVB-2.PCBDOC|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|Fitted|C35|1|Cap|0603|CAP CER 2.2UF 6.3V X5R 0603|Cap|Samsung|CL10A225KQ8NNWC|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL10A225KQ8NNWC%26seller%3DDigi-Key%26sku%3D1276-1886-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-1886-1-ND{URL.TIP}Supplier|4.29|0.04
12|Fitted|C53|1|Cap|0402|CAP CER 0.22UF 16V X7R 0402|Cap|Murata|GRM155R71C224KA12D|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R71C224KA12D%26seller%3DDigi-Key%26sku%3D490-5418-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-5418-6-ND{URL.TIP}Supplier|4.75|0.05
13|Fitted|D1, D2, D3, D4, D5|5|LED-RGB|LED0404|LED RGB DIFFUSED 0404 SMD|LED-RGB|Rohm Semiconductor|SMLP34RGB2W3|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRohm%26mpn%3DSMLP34RGB2W3%26seller%3DDigi-Key%26sku%3DSMLP34RGB2W3TR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SMLP34RGB2W3TR-ND{URL.TIP}Supplier|1540.05|0.31
14|Fitted|D6|1|Diode - Schottky|D0603B|DIODE SCHOTTKY 30V 2A 0603|Diode - Schottky|Vishay|VSKY20301608-G4-08|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DVSKY20301608-G4-08%26seller%3DDigi-Key%26sku%3DVSKY20301608-G4-08GICT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}VSKY20301608-G4-08GICT-ND{URL.TIP}Supplier|20.76|0.21
15|Fitted|H1|1|Hdr - 2pin - mount|S2B-PH-SM4-TB(LF)(SN)|CONN HEADER PH SIDE 2POS 2MM SMD|Hdr - 2pin - mount|JST|S2B-PH-SM4-TB(LF)(SN)|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DS2B-PH-SM4-TB%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-1749-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-1749-1-ND{URL.TIP}Supplier|41.94|0.42
16|Fitted|H2|1|Hdr - 4pin - mount|SM04B-GHS-TB(LF)(SN)|CONN HEADER GH SIDE 4POS 1.25MM|Hdr - 4pin - mount|JST|SM04B-GHS-TB(LF)(SN)-|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM04B-GHS-TB%2528LF%2529%2528SN%2529%253B-%26seller%3DDigi-Key%26sku%3D455-1566-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-1566-1-ND{URL.TIP}Supplier|32.44|0.32
17|Fitted|H3|1|Hdr - 5pin - mount|SM05B-GHS-TB(LF)(SN)|CONN HEADER GH SIDE 5POS 1.25MM|Hdr - 5pin - mount|JST|SM05B-GHS-TB(LF)(SN)|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM05B-GHS-TB%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-1567-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-1567-1-ND{URL.TIP}Supplier||
18|Fitted|H4|1|Hdr - 9pin - mount|SM09B-GHS-TB(LF)(SN)|CONN HEADER GH SIDE 9POS 1.25MM|Hdr - 9pin - mount|JST|SM09B-GHS-TB(LF)(SN)|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM09B-GHS-TB%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-1571-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-1571-2-ND{URL.TIP}Supplier||
19|Fitted|H7, H8|2|Hdr - 14pin - mount|SM14B-GHS-TB(LF)(SN)|CONN HEADER GH SIDE 14POS 1.25MM|Hdr - 14pin - mount|JST|SM14B-GHS-TB(LF)(SN)|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM14B-GHS-TB%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-1576-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-1576-6-ND{URL.TIP}Supplier||
20|Fitted|H9|1|SD Card Socket|114-00841-68|CONN MICRO SD CARD PUSH-PULL R/A|SD Card Socket|Amphenol Commercial|114-00841-68|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520Commercial%26mpn%3D114-00841-68%26seller%3DDigi-Key%26sku%3D114-00841-68-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}114-00841-68-6-ND{URL.TIP}Supplier||
21|Fitted|I1, I3, I4, I8|4|Inductor|INDC2520X12N|FIXED IND 1UH 3.3A 40 MOHM|Inductor|Murata|DFE252012F-1R0M=P2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DDFE252012F-1R0M%253DP2%26seller%3DDigi-Key%26sku%3D490-13053-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-13053-6-ND{URL.TIP}Supplier|166.76|0.42
22|Fitted|I2|1|Inductor|0201|FERRITE BEAD 240 OHM 0201 1LN|Inductor|TDK Corporation|MMZ0603S241HT000|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMMZ0603S241HT000%26seller%3DDigi-Key%26sku%3D445-172341-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-172341-1-ND{URL.TIP}Supplier|6.05|0.06
23|Fitted|I5|1|Inductor|0806|FIXED IND 10UH 350MA 1.066 OHM|Inductor|Taiyo Yuden|CBC2016T100M|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DCBC2016T100M%26seller%3DDigi-Key%26sku%3D587-1606-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}587-1606-1-ND{URL.TIP}Supplier|15.18|0.15
24|Fitted|I6, I7|2|Inductor|0402|FERRITE BEAD 470 OHM 0402|Inductor|Taiyo Yuden|BK1005HM471-T|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DBK1005HM471-T%26seller%3DDigi-Key%26sku%3D587-1838-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}587-1838-6-ND{URL.TIP}Supplier|5.45|0.02
25|Fitted|J2_I, J2_M|2|USB-MICRO-B-STRONG|USB Micro AB R/A THR - design|CONN USB MICRO B RECPT SMT R/A|USB-TYPEAB-4GND|Amphenol FCI|10118194-0001LF|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D10118194-0001LF%26seller%3DDigi-Key%26sku%3D609-4618-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-4618-6-ND{URL.TIP}Supplier||
26|Fitted|J3, J4, J8|3|RF - GND x 2|RF UMC SMD|CONN UMC RCPT STR 50 OHM SMD|RF - GND x 2|Emerson Network Power Connectivity Johnson|128-0711-201|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBel%2520Johnson%26mpn%3D128-0711-201%26seller%3DDigi-Key%26sku%3DJ983CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}J983CT-ND{URL.TIP}Supplier|160.38|0.53
27|Fitted|J5|1|RF - GND x 4|RF RPSMA End Launch|CONN RPSMA JCK STR 50OHM EDGEMNT|RF - GND x 4|Amphenol Connex|132255RP|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520Connex%26mpn%3D132255RP%26seller%3DDigi-Key%26sku%3DACX1425-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ACX1425-ND{URL.TIP}Supplier|613.7|6.14
28|Fitted|J6, J7|2|RF - GND x 4|RF SMA End Launch 2|CONN SMA RCPT STR 50OHM EDGE MNT|RF - GND x 4|Molex|0732511150|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0732511150%26seller%3DDigi-Key%26sku%3DWM5534-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM5534-ND{URL.TIP}Supplier|558.84|2.79
29|Fitted|J9, J10, J11|3|Cable Assembly||CBL ASSY UMCC PLUG-PLUG 1.969"|Cable Assembly|Cinch Connectivity Solutions Johnson|415-0084-050|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBel%2520Cinch%26mpn%3D415-0084-050%26seller%3DDigi-Key%26sku%3DJ918-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}J918-ND{URL.TIP}Supplier||
30|Fitted|MP1, MP2, MP3, MP4|4|Standoff|9774050151R|RND STANDOFF M2.5X0.45 STEEL 5MM|Standoff|Wurth Electronics|9774050951R|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D9774050951R%26seller%3DDigi-Key%26sku%3D732-7098-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-7098-1-ND{URL.TIP}Supplier|295.6|0.74
31|Fitted|Q1, Q2, Q4, Q5, Q6, Q7|6|MOSFET-P|TSST8|4V DRIVE PCH+PCH MOSFET|MOSFET-Dual-P|Rohm|TT8J3TR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRohm%26mpn%3DTT8J3TR%26seller%3DDigi-Key%26sku%3DTT8J3TRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}TT8J3TRCT-ND{URL.TIP}Supplier|164.78|0.27
32|Fitted|Q3|1|MOSFET-N|SOT-523|MOSFET N-CH 50V 280MA SOT-523|MOSFET-N|Diodes|DMN5L06TK-7|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DDMN5L06TK-7%26seller%3DDigi-Key%26sku%3DDMN5L06TKDIDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}DMN5L06TKDIDKR-ND{URL.TIP}Supplier|23.79|0.24
33|Fitted|R1, R2, R5, R8, R14, R23, R38, R39, R44, R45, R48, R49, R50, R52|14|Res|R0402|RES SMD 100K OHM 1% 1/16W 0402|Res|Panasonic|ERJ-2RKF1003X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ2RKF1003X%26seller%3DDigi-Key%26sku%3DP100KLDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P100KLDKR-ND{URL.TIP}Supplier|11.52|0.01
34|Fitted|R4|1|Res|R0402|RES SMD 5.62K OHM 1% 1/10W 0402|Res|Panasonic|ERJ-2RKF5621X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5621X%26seller%3DDigi-Key%26sku%3DP5.62KLDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P5.62KLDKR-ND{URL.TIP}Supplier|1.83|0.02
35|Fitted|R6, R12|2|Res|R0402|RES SMD 560K OHM 1% 1/10W 0402|Res|Panasonic|ERJ-2RKF5603X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2RKF5603X%26seller%3DDigi-Key%26sku%3DP560KLDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P560KLDKR-ND{URL.TIP}Supplier|3.66|0.02
36|Fitted|R7, R13|2|Res|R0402|RES SMD 150K OHM 1% 1/10W 0402|Res|Panasonic|ERJ-2RKF1503X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ2RKF1503X%26seller%3DDigi-Key%26sku%3DP150KLDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P150KLDKR-ND{URL.TIP}Supplier|3.66|0.02
37|Fitted|R9, R19, R20, R35, R41, R43, R51, R54|8|Res|R0402|RES 10K OHM 1/16W 1% 0402 SMD|Res|Panasonic|ERJ-2RKF1002X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ2RKF1002X%26seller%3DDigi-Key%26sku%3DP10.0KLDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P10.0KLDKR-ND{URL.TIP}Supplier|8.23|0.01
38|Fitted|R10, R28, R29, R30, R31, R32, R36, R40, R42, R46, R55, R56|12|Res|R0402|RES SMD 470 OHM 5% 1/16W 0402|Res|Vishay Dale|CRCW0402470RJNED|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW0402470RJNED%26seller%3DDigi-Key%26sku%3D541-470JDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-470JDKR-ND{URL.TIP}Supplier|7.42|0.01
